id,precipitation (mm/yr),w,B,Q (kg/s),A (km^2),R (km),T(C),Qs (MT/y),Qs (T/y),density (kg/m^3),volume (m^3/yr),erosion (m/yr),erosion (mm/yr),fault_id,distance
122,88.2,0.0006,1,47.29050991842118,1.6924431503617128,0.772,19.226666564941404,0.7127884139724123,712788.4139724124,2700,263.9957088786712,0.00015598497877003991,0.15598497877003992,1,19457.5035647
124,92.33333333333333,0.0006,1,43.982871315507865,1.4715605153477511,0.759,18.69722188313802,0.5511017782979246,551101.7782979247,2700,204.1117697399721,0.00013870429901534665,0.13870429901534664,1,20242.898902
125,94.55555555555556,0.0006,1,61.75091824568932,2.5135702242457505,0.804,18.549074130588107,1.3888776174744573,1388877.6174744572,2700,514.3991175831324,0.00020464879501725026,0.20464879501725025,1,20850.6202443
126,106.5,0.0006,1,58.086673130086936,2.1459019719793213,0.979,17.611458587646485,1.2894830869454954,1289483.0869454953,2700,477.5863284983316,0.00022255738367108122,0.22255738367108122,1,21530.2715085
128,120.78048780487805,0.0006,1,100.55037830273706,4.882618066187052,1.097,16.45386170177925,5.316945187948844,5316945.187948843,2700,1969.2389584995717,0.00040331619876985287,0.40331619876985286,1,22418.7279987
130,84.0,0.0006,1,31.57354399346716,0.9039070968092456,0.226,19.425,0.07517403216957261,75174.0321695726,2700,27.84223413687874,3.080209706856011e-05,0.030802097068560106,1,24500.2037485
131,93.0,0.0006,1,34.1632139928988,0.9755293367241795,0.381,18.666666412353514,0.14221390052241306,142213.90052241305,2700,52.67181500830113,5.39930610238465e-05,0.0539930610238465,1,24995.018805
135,119.0,0.0006,1,28.949046747202797,0.6602389545455687,0.43,16.5,0.08136526854623811,81365.26854623812,2700,30.135284646754858,4.564299703808974e-05,0.04564299703808974,1,27627.1613524
138,88.75,0.0006,1,43.34888942755376,1.4662326176409834,0.227,18.929166412353517,0.1638662250118108,163866.2250118108,2700,60.69119444881882,4.139260968458379e-05,0.04139260968458379,2,8443.78899997
139,88.5,0.0006,1,26.927681875624465,0.6812411815448344,0.11,19.0125,0.023018818257585345,23018.818257585346,2700,8.525488243550129,1.251464015169647e-05,0.01251464015169647,2,8673.37373369
